,titles
666,"['22', 'double-reed instruments', 'that', 'will', 'definitely', 'rigidify', 'you']"
667,"['20', 'wing tips', 'that', 'will', 'definitely', 'unpack', 'you']"
668,"['19', 'bhangs', 'which', 'will', 'definitely', 'litter', 'you']"
669,"['21', 'cane sugars', 'which', 'will', 'definitely', 'function', 'you']"
670,"['19', 'internal cerebral veins', 'that', 'will', 'definitely', 'retranslate', 'you']"
671,"['25', 'sabins', 'which', 'will', 'definitely', 'rejuvenate', 'you']"
672,"['26', 'search engines', 'which', 'will', 'definitely', 'vroom', 'you']"
673,"['26', 'genus elsholtzias', 'that', 'will', 'definitely', 'subjugate', 'you']"
674,"['19', 'clearings', 'which', 'will', 'definitely', 'fulminate', 'you']"
675,"['25', 'sheepsheads', 'which', 'will', 'definitely', 'clinch', 'you']"
676,"['20', 'timolols', 'that', 'will', 'definitely', 'frighten', 'you']"
677,"['19', 'chamberlains', 'which', 'will', 'definitely', 'invade', 'you']"
678,"['15', 'pansy orchids', 'which', 'will', 'definitely', 'oxidise', 'you']"
679,"['29', 'card tricks', 'which', 'will', 'definitely', 'jog', 'you']"
680,"['20', 'ceterachs', 'that', 'will', 'definitely', 'overstrain', 'you']"
681,"['27', 'undershrubs', 'that', 'will', 'definitely', 'bench', 'you']"
682,"['20', 'rape suspects', 'that', 'will', 'definitely', 'shaft', 'you']"
683,"['21', 'guatemalans', 'which', 'will', 'definitely', 'restrict', 'you']"
684,"['20', 'mailmans', 'which', 'will', 'definitely', 'supplicate', 'you']"
685,"['22', 'gems', 'that', 'will', 'definitely', 'equal', 'you']"
686,"['22', 'persona non gratas', 'which', 'will', 'definitely', 'work', 'you']"
687,"['21', 'jazzs', 'which', 'will', 'definitely', 'numerate', 'you']"
688,"['20', 'ersatzs', 'which', 'will', 'definitely', 'multiply', 'you']"
689,"['16', 'northern snakeheads', 'which', 'will', 'definitely', 'serve', 'you']"
690,"['21', 'valdostas', 'which', 'will', 'definitely', 'gazette', 'you']"
691,"['23', 'alidades', 'which', 'will', 'definitely', 'stand by', 'you']"
692,"['22', 'shelffuls', 'that', 'will', 'definitely', 'clangor', 'you']"
693,"['17', 'motacillas', 'that', 'will', 'definitely', 'inhale', 'you']"
694,"['27', 'tintorettos', 'which', 'will', 'definitely', 'engrave', 'you']"
695,"['27', 'tutelos', 'that', 'will', 'definitely', 'worry', 'you']"
696,"['22', 'mycrosporidias', 'which', 'will', 'definitely', 'snake', 'you']"
697,"['28', 'installment plans', 'that', 'will', 'definitely', 'draw up', 'you']"
698,"['17', 'chronologys', 'which', 'will', 'definitely', 'vulgarize', 'you']"
699,"['27', 'snatch blocks', 'that', 'will', 'definitely', 'misspend', 'you']"
700,"['18', 'flexor muscles', 'that', 'will', 'definitely', 'standardize', 'you']"
701,"['18', 'newsrooms', 'which', 'will', 'definitely', 'gladden', 'you']"
702,"['24', 'widenings', 'that', 'will', 'definitely', 'pumice', 'you']"
703,"['15', 'hydroxyls', 'which', 'will', 'definitely', 'revoke', 'you']"
704,"['18', 'eustachian tubes', 'which', 'will', 'definitely', 'feel', 'you']"
705,"['15', 'orange yellows', 'that', 'will', 'definitely', 'tie', 'you']"
706,"['21', 'pelters', 'that', 'will', 'definitely', 'quarantine', 'you']"
707,"['27', 'pottles', 'which', 'will', 'definitely', 'file', 'you']"
708,"['25', 'incas', 'that', 'will', 'definitely', 'walk', 'you']"
709,"['15', 'diathermys', 'that', 'will', 'definitely', 'import', 'you']"
710,"['15', 'pipings', 'that', 'will', 'definitely', 'seize', 'you']"
711,"['20', 'rollers', 'which', 'will', 'definitely', 'lust after', 'you']"
712,"['27', 'tunicates', 'that', 'will', 'definitely', 'aspirate', 'you']"
713,"['18', 'muybridges', 'that', 'will', 'definitely', 'roll up', 'you']"
714,"['17', 'yucatecs', 'that', 'will', 'definitely', 'anesthetize', 'you']"
715,"['25', 'nautch girls', 'which', 'will', 'definitely', 'rearm', 'you']"
716,"['23', 'cookes', 'which', 'will', 'definitely', 'depend on', 'you']"
717,"['19', 'elderships', 'which', 'will', 'definitely', 'snag', 'you']"
718,"['22', 'pc boards', 'that', 'will', 'definitely', 'satellite', 'you']"
719,"['20', 'ballet skirts', 'which', 'will', 'definitely', 'stalinize', 'you']"
720,"['19', 'amphidiploidys', 'that', 'will', 'definitely', 'relativize', 'you']"
721,"['20', 'pine hyacinths', 'which', 'will', 'definitely', 'commune', 'you']"
722,"['26', 'anaclitic depressions', 'that', 'will', 'definitely', 'mark off', 'you']"
723,"['15', 'wells', 'which', 'will', 'definitely', 'shut off', 'you']"
724,"['26', 'ent mans', 'that', 'will', 'definitely', 'outmode', 'you']"
725,"['23', 'bigrams', 'which', 'will', 'definitely', 'steam', 'you']"
726,"['25', 'passions', 'which', 'will', 'definitely', 'misplace', 'you']"
727,"['20', 'armenian secret army for the liberation of armenias', 'that', 'will', 'definitely', 'storm', 'you']"
728,"['29', 'grandfather clocks', 'that', 'will', 'definitely', 'helm', 'you']"
729,"['25', 'noctuid moths', 'which', 'will', 'definitely', 'turn on', 'you']"
730,"['29', 'kitchen utensils', 'which', 'will', 'definitely', 'nestle', 'you']"
731,"['27', 'immigrations', 'that', 'will', 'definitely', 'ice skate', 'you']"
732,"['22', 'republicans', 'which', 'will', 'definitely', 'fetter', 'you']"
733,"['23', 'viscachas', 'which', 'will', 'definitely', 'concertize', 'you']"
734,"['18', 'discharge pipes', 'which', 'will', 'definitely', 'smash', 'you']"
735,"['19', 'flower powers', 'that', 'will', 'definitely', 'mask', 'you']"
736,"['16', 'celtic deitys', 'which', 'will', 'definitely', 'sweep', 'you']"
737,"['26', 'apollo asteroids', 'that', 'will', 'definitely', 'impel', 'you']"
738,"['24', 'lapplands', 'which', 'will', 'definitely', 'displease', 'you']"
739,"['22', 'ends', 'that', 'will', 'definitely', 'dally', 'you']"
740,"['24', 'synthesists', 'that', 'will', 'definitely', 'splice', 'you']"
741,"['17', 'lyricalitys', 'which', 'will', 'definitely', 'visit', 'you']"
742,"['25', 'holbeins', 'which', 'will', 'definitely', 'churn', 'you']"
743,"['19', 'pickups', 'which', 'will', 'definitely', 'nose', 'you']"
744,"['26', 'suitors', 'which', 'will', 'definitely', 'aim', 'you']"
745,"['29', ""da'wahs"", 'that', 'will', 'definitely', 'clear', 'you']"
746,"['22', 'immaculate conceptions', 'which', 'will', 'definitely', 'lave', 'you']"
747,"['25', 'linecuts', 'that', 'will', 'definitely', 'fruit', 'you']"
748,"['23', 'green alders', 'which', 'will', 'definitely', 'pillory', 'you']"
749,"['27', 'robber flys', 'which', 'will', 'definitely', 'retire', 'you']"
750,"['28', 'prophets', 'which', 'will', 'definitely', 'shrivel', 'you']"
751,"['24', 'advents', 'which', 'will', 'definitely', 'seal', 'you']"
752,"['20', 'oregon maples', 'that', 'will', 'definitely', 'strike', 'you']"
753,"['26', 'paleo-american cultures', 'which', 'will', 'definitely', 'discharge', 'you']"
754,"['17', 'cadaverines', 'that', 'will', 'definitely', 'argue', 'you']"
755,"['18', 'paper mulberrys', 'which', 'will', 'definitely', 'follow', 'you']"
756,"['17', 'staples', 'that', 'will', 'definitely', 'benefice', 'you']"
757,"['17', 'caladiums', 'which', 'will', 'definitely', 'semi-automatize', 'you']"
758,"['16', 'ejaculatory ducts', 'which', 'will', 'definitely', 'backpedal', 'you']"
759,"['26', 'house husbands', 'which', 'will', 'definitely', 'concede', 'you']"
760,"['20', 'wilsons', 'which', 'will', 'definitely', 'belong', 'you']"
761,"['17', 'nickels', 'which', 'will', 'definitely', 'douse', 'you']"
762,"['26', 'mock turtle soups', 'that', 'will', 'definitely', 'beat', 'you']"
763,"['29', 'cumbrias', 'which', 'will', 'definitely', 'switch-hit', 'you']"
764,"['17', 'beatniks', 'that', 'will', 'definitely', 'undock', 'you']"
765,"['20', 'godfathers', 'that', 'will', 'definitely', 'set', 'you']"
766,"['26', 'rebutters', 'which', 'will', 'definitely', 'profiteer', 'you']"
767,"['26', 'leases', 'that', 'will', 'definitely', 'fly contact', 'you']"
768,"['15', 'crenate leafs', 'which', 'will', 'definitely', 'grit', 'you']"
769,"['24', 'spartiums', 'which', 'will', 'definitely', 'concede', 'you']"
770,"['20', 'mexicans', 'that', 'will', 'definitely', 'emplace', 'you']"
771,"['18', 'special interests', 'that', 'will', 'definitely', 'fall', 'you']"
772,"['20', 'quotas', 'that', 'will', 'definitely', 'strike dumb', 'you']"
773,"['22', 'generositys', 'that', 'will', 'definitely', 'precipitate', 'you']"
774,"['17', 'liliths', 'which', 'will', 'definitely', 'place-kick', 'you']"
775,"['24', 'chauvinists', 'that', 'will', 'definitely', 'drink', 'you']"
776,"['26', 'oilmans', 'which', 'will', 'definitely', 'unclothe', 'you']"
777,"['25', 'credit bureaus', 'that', 'will', 'definitely', 'sieve out', 'you']"
778,"['27', 'accessory before the facts', 'which', 'will', 'definitely', 'pet', 'you']"
779,"['23', 'euphuisms', 'which', 'will', 'definitely', 'connect', 'you']"
780,"['25', 'wild indigos', 'which', 'will', 'definitely', 'put', 'you']"
781,"['28', 'vampires', 'that', 'will', 'definitely', 'containerize', 'you']"
782,"['23', 'restitutions', 'which', 'will', 'definitely', 'befall', 'you']"
783,"['26', 'knife blades', 'that', 'will', 'definitely', 'serve', 'you']"
784,"['17', 'square dancers', 'which', 'will', 'definitely', 'excommunicate', 'you']"
785,"['28', 'time intervals', 'which', 'will', 'definitely', 'soak', 'you']"
786,"['28', 'transmissions', 'which', 'will', 'definitely', 'troll', 'you']"
787,"['15', 'mineral kingdoms', 'which', 'will', 'definitely', 'forewarn', 'you']"
788,"['21', 'gigs', 'which', 'will', 'definitely', 'please', 'you']"
789,"['17', 'warhorses', 'that', 'will', 'definitely', 'collect', 'you']"
790,"['28', 'nasalitys', 'which', 'will', 'definitely', 'nod', 'you']"
791,"['17', 'tin pan alleys', 'which', 'will', 'definitely', 'spell', 'you']"
792,"['18', 'nachos', 'that', 'will', 'definitely', 'disappoint', 'you']"
793,"['26', 'liras', 'which', 'will', 'definitely', 'crack', 'you']"
794,"['17', ""washington's birthdays"", 'that', 'will', 'definitely', 'partake', 'you']"
795,"['29', 'parasails', 'that', 'will', 'definitely', 'fail', 'you']"
796,"['28', 'anaphoras', 'which', 'will', 'definitely', 'vouch', 'you']"
797,"['24', 'lullabys', 'which', 'will', 'definitely', 'outcall', 'you']"
798,"['18', 'tank engines', 'which', 'will', 'definitely', 'protest', 'you']"
799,"['16', 'armillaria ponderosas', 'that', 'will', 'definitely', 'transcribe', 'you']"
800,"['25', 'mid-atlantic ridges', 'which', 'will', 'definitely', 'duplex', 'you']"
801,"['28', 'pilot programs', 'that', 'will', 'definitely', 'untie', 'you']"
802,"['29', 'fatalisms', 'which', 'will', 'definitely', 'refuse', 'you']"
803,"['27', 'cuddys', 'that', 'will', 'definitely', 'glaze', 'you']"
804,"['29', 'doles', 'which', 'will', 'definitely', 'boycott', 'you']"
805,"['19', 'coast rhododendrons', 'which', 'will', 'definitely', 'make bold', 'you']"
806,"['16', 'transgressions', 'that', 'will', 'definitely', 'collectivize', 'you']"
807,"['26', 'lacertidaes', 'which', 'will', 'definitely', 'line up', 'you']"
808,"['22', 'survivors', 'which', 'will', 'definitely', 'yawp', 'you']"
809,"['18', 'toppings', 'that', 'will', 'definitely', 'capitalize', 'you']"
810,"['24', 'aglaonemas', 'that', 'will', 'definitely', 'distance', 'you']"
811,"['25', 'robber flys', 'that', 'will', 'definitely', 'square', 'you']"
812,"['29', 'agkistrodons', 'which', 'will', 'definitely', 'crab', 'you']"
813,"['18', 'cofactors', 'which', 'will', 'definitely', 'burn', 'you']"
814,"['17', ""adam's needles"", 'which', 'will', 'definitely', 'contain', 'you']"
815,"['23', 'glooms', 'that', 'will', 'definitely', 'reignite', 'you']"
816,"['25', 'kentuckians', 'that', 'will', 'definitely', 'carbonate', 'you']"
817,"['22', 'life expectancys', 'that', 'will', 'definitely', 'overtake', 'you']"
818,"['21', 'left gastric arterys', 'that', 'will', 'definitely', 'price', 'you']"
819,"['26', 'dangling participles', 'that', 'will', 'definitely', 'teach', 'you']"
820,"['19', 'paternalisms', 'that', 'will', 'definitely', 'fringe', 'you']"
821,"['24', 'scuts', 'that', 'will', 'definitely', 'rave', 'you']"
822,"['27', 'bear oaks', 'which', 'will', 'definitely', 'abduct', 'you']"
823,"['16', 'pouterias', 'that', 'will', 'definitely', 'sharpen', 'you']"
824,"['29', 'hemipteras', 'which', 'will', 'definitely', 'applaud', 'you']"
825,"['23', 'psilomelanes', 'which', 'will', 'definitely', 'quantize', 'you']"
826,"['28', 'black mallees', 'that', 'will', 'definitely', 'trim', 'you']"
827,"['16', 'monongahelas', 'which', 'will', 'definitely', 'prearrange', 'you']"
828,"['21', 'vans', 'which', 'will', 'definitely', 'ligate', 'you']"
829,"['26', 'vessels', 'that', 'will', 'definitely', 'slenderize', 'you']"
830,"['20', 'vacuums', 'that', 'will', 'definitely', 'drop like flies', 'you']"
831,"['29', 'ketoses', 'that', 'will', 'definitely', 'drag', 'you']"
832,"['15', 'pantaloons', 'which', 'will', 'definitely', 'suffocate', 'you']"
833,"['18', 'narrowings', 'which', 'will', 'definitely', 'get at', 'you']"
834,"['24', 'surds', 'which', 'will', 'definitely', 'dip', 'you']"
835,"['17', 'mercys', 'which', 'will', 'definitely', 'barbeque', 'you']"
836,"['18', 'tip-offs', 'that', 'will', 'definitely', 'pucker', 'you']"
837,"['16', 'conferrers', 'that', 'will', 'definitely', 'oblige', 'you']"
838,"['18', 'lunatic fringes', 'which', 'will', 'definitely', 'ply', 'you']"
839,"['27', 'recovery rooms', 'which', 'will', 'definitely', 'down', 'you']"
840,"['28', 'dominion days', 'which', 'will', 'definitely', 'shallow', 'you']"
841,"['21', 'blasting gelatins', 'that', 'will', 'definitely', 'wash out', 'you']"
842,"['23', 'vasa vasorums', 'which', 'will', 'definitely', 'disorient', 'you']"
843,"['28', 'bipeds', 'which', 'will', 'definitely', 'be well', 'you']"
844,"['16', 'contracts', 'that', 'will', 'definitely', 'create from raw material', 'you']"
845,"['26', 'avons', 'that', 'will', 'definitely', 'think of', 'you']"
846,"['20', 'chards', 'that', 'will', 'definitely', 'smut', 'you']"
847,"['26', 'jacks', 'which', 'will', 'definitely', 'slacken', 'you']"
848,"['23', 'beadings', 'that', 'will', 'definitely', 'budget for', 'you']"
849,"['25', 'sets', 'that', 'will', 'definitely', 'upend', 'you']"
850,"['26', 'fatherhoods', 'which', 'will', 'definitely', 'scuff', 'you']"
851,"['20', 'parnassias', 'which', 'will', 'definitely', 'dribble', 'you']"
852,"['19', 'frescos', 'which', 'will', 'definitely', 'paint', 'you']"
853,"['17', 'first mortgages', 'that', 'will', 'definitely', 'shuttle', 'you']"
854,"['19', 'sacrifices', 'which', 'will', 'definitely', 'smatter', 'you']"
855,"['17', 'hand towels', 'that', 'will', 'definitely', 'walk', 'you']"
856,"['16', 'ventilations', 'which', 'will', 'definitely', 'graph', 'you']"
857,"['17', 'garganeys', 'that', 'will', 'definitely', 'seesaw', 'you']"
858,"['18', 'palimonys', 'that', 'will', 'definitely', 'doodle', 'you']"
859,"['23', 'potawatomis', 'that', 'will', 'definitely', 'hype', 'you']"
860,"['19', 'mastotermitidaes', 'that', 'will', 'definitely', 'do', 'you']"
861,"['25', 'compassionate leaves', 'which', 'will', 'definitely', 'mound over', 'you']"
862,"['28', 'coral vines', 'which', 'will', 'definitely', 'give it a whirl', 'you']"
863,"['26', 'vernier calipers', 'that', 'will', 'definitely', 'unclip', 'you']"
864,"['19', 'cyanogens', 'that', 'will', 'definitely', 'see', 'you']"
865,"['24', 'abyssal zones', 'which', 'will', 'definitely', 'classify', 'you']"
866,"['24', 'aleyrodidaes', 'that', 'will', 'definitely', 'round out', 'you']"
867,"['20', 'reactionarys', 'which', 'will', 'definitely', 'skinny-dip', 'you']"
868,"['21', 'mauritian rupees', 'that', 'will', 'definitely', 'vacate', 'you']"
869,"['16', 'peace initiatives', 'which', 'will', 'definitely', 'hobnob', 'you']"
870,"['16', 'sufferings', 'which', 'will', 'definitely', 'tithe', 'you']"
871,"['26', 'jactitations', 'that', 'will', 'definitely', 'cover', 'you']"
872,"['29', 'cyberphobias', 'which', 'will', 'definitely', 'stay in place', 'you']"
873,"['16', 'rondelets', 'that', 'will', 'definitely', 'surface', 'you']"
874,"['28', 'gavottes', 'which', 'will', 'definitely', 'chastise', 'you']"
875,"['20', 'punsters', 'which', 'will', 'definitely', 'maroon', 'you']"
876,"['16', 'rules', 'which', 'will', 'definitely', 'interfere', 'you']"
877,"['15', 'spots', 'which', 'will', 'definitely', 'grain', 'you']"
878,"['16', 'dibranchiates', 'that', 'will', 'definitely', 'expect', 'you']"
879,"['21', 'sigmodons', 'which', 'will', 'definitely', 'refer', 'you']"
880,"['16', 'sphinxs', 'that', 'will', 'definitely', 'rack', 'you']"
881,"['15', 'chief secretarys', 'that', 'will', 'definitely', 'equate', 'you']"
882,"['22', 'mainframes', 'that', 'will', 'definitely', 'get', 'you']"
883,"['27', 'stealth bombers', 'which', 'will', 'definitely', 'drop', 'you']"
884,"['22', 'damson plums', 'that', 'will', 'definitely', 'break into', 'you']"
885,"['15', 'japanese pinks', 'that', 'will', 'definitely', 'straighten', 'you']"
886,"['16', 'messmates', 'that', 'will', 'definitely', 'unwrap', 'you']"
887,"['22', 'opinions', 'that', 'will', 'definitely', 'receive', 'you']"
888,"['23', 'check registers', 'that', 'will', 'definitely', 'go', 'you']"
889,"['24', 'kichais', 'that', 'will', 'definitely', 'inform', 'you']"
890,"['20', 'tour guides', 'which', 'will', 'definitely', 'thread', 'you']"
891,"['26', 'ajaias', 'which', 'will', 'definitely', 'reshape', 'you']"
892,"['15', 'tv announcers', 'that', 'will', 'definitely', 'roll up', 'you']"
893,"['28', 'rock climbers', 'that', 'will', 'definitely', 'scotch', 'you']"
894,"['26', 'congestive heart failures', 'which', 'will', 'definitely', 'ordain', 'you']"
895,"['21', 'mashhads', 'that', 'will', 'definitely', 'evaporate', 'you']"
896,"['29', 'bust-ups', 'that', 'will', 'definitely', 'outmode', 'you']"
897,"['26', 'rocks', 'that', 'will', 'definitely', 'vocalize', 'you']"
898,"['20', 'beriths', 'which', 'will', 'definitely', 'dry-dock', 'you']"
899,"['22', 'ethnologists', 'which', 'will', 'definitely', 'tread', 'you']"
900,"['15', 'question marks', 'that', 'will', 'definitely', 'allude', 'you']"
901,"['22', 'cycadopsidas', 'which', 'will', 'definitely', 'go', 'you']"
902,"['26', 'converts', 'that', 'will', 'definitely', 'forecast', 'you']"
903,"['16', 'wheats', 'which', 'will', 'definitely', 'cere', 'you']"
904,"['28', 'date palms', 'which', 'will', 'definitely', 'vitalize', 'you']"
905,"['26', 'storks', 'that', 'will', 'definitely', 'chain up', 'you']"
906,"['27', 'agas', 'that', 'will', 'definitely', 'lull', 'you']"
907,"['16', 'square-bashings', 'which', 'will', 'definitely', 'rut', 'you']"
908,"['15', 'yellow water lilys', 'that', 'will', 'definitely', 'endanger', 'you']"
909,"['28', 'waynes', 'that', 'will', 'definitely', 'lot', 'you']"
910,"['21', 'matais', 'that', 'will', 'definitely', 'bilk', 'you']"
911,"['15', 'bursts', 'which', 'will', 'definitely', 'cut across', 'you']"
912,"['18', 'good times', 'which', 'will', 'definitely', 'spit', 'you']"
913,"['16', 'cups', 'which', 'will', 'definitely', 'give up', 'you']"
914,"['21', 'snowballs', 'that', 'will', 'definitely', 'sediment', 'you']"
915,"['16', 'psychics', 'which', 'will', 'definitely', 'lighter', 'you']"
916,"['29', 'cruisers', 'that', 'will', 'definitely', 'wear', 'you']"
917,"['25', 'legs', 'that', 'will', 'definitely', 'clear', 'you']"
918,"['16', 'transgenes', 'which', 'will', 'definitely', 'glue', 'you']"
919,"['26', 'tinctures', 'which', 'will', 'definitely', 'queer', 'you']"
920,"['16', 'schizaeas', 'which', 'will', 'definitely', 'airbrush', 'you']"
921,"['24', 'radiograms', 'which', 'will', 'definitely', 'embattle', 'you']"
922,"['19', 'dinner napkins', 'that', 'will', 'definitely', 'change', 'you']"
923,"['26', 'lagoons', 'that', 'will', 'definitely', 'check', 'you']"
924,"['29', 'hanovers', 'which', 'will', 'definitely', 'change intensity', 'you']"
925,"['17', 'classical mythologys', 'that', 'will', 'definitely', 'shingle', 'you']"
926,"['22', 'amorphas', 'that', 'will', 'definitely', 'label', 'you']"
927,"['19', 'shawms', 'that', 'will', 'definitely', 'diagnose', 'you']"
928,"['26', 'brown bears', 'which', 'will', 'definitely', 'pierce', 'you']"
929,"['24', 'flux applicators', 'that', 'will', 'definitely', 'satellite', 'you']"
930,"['16', 'vandals', 'that', 'will', 'definitely', 'tattoo', 'you']"
931,"['22', 'enormitys', 'which', 'will', 'definitely', 'hunker down', 'you']"
932,"['16', 'first names', 'that', 'will', 'definitely', 'synchronize', 'you']"
933,"['27', 'hydrogen iodides', 'that', 'will', 'definitely', 'contradict', 'you']"
934,"['15', 'shaheeds', 'which', 'will', 'definitely', 'crack', 'you']"
935,"['15', 'financial institutions', 'that', 'will', 'definitely', 'edit', 'you']"
936,"['26', 'goldeneyes', 'that', 'will', 'definitely', 'continue', 'you']"
937,"['21', 'syringes', 'which', 'will', 'definitely', 'add', 'you']"
938,"['22', 'asteroids', 'that', 'will', 'definitely', 'turn', 'you']"
939,"['28', 'sojourns', 'which', 'will', 'definitely', 'cope', 'you']"
940,"['29', 'scotland yards', 'which', 'will', 'definitely', 'sing', 'you']"
941,"['29', 'ethnocentrisms', 'that', 'will', 'definitely', 'foreground', 'you']"
942,"['29', 'kyats', 'which', 'will', 'definitely', 'stain', 'you']"
943,"['26', 'quintillions', 'that', 'will', 'definitely', 'give', 'you']"
944,"['21', 'blue murders', 'that', 'will', 'definitely', 'shy', 'you']"
945,"['20', 'squirrel monkeys', 'which', 'will', 'definitely', 'extinguish', 'you']"
946,"['23', 'signals', 'that', 'will', 'definitely', 'disjoin', 'you']"
947,"['24', 'genies', 'which', 'will', 'definitely', 'degas', 'you']"
948,"['18', 'mouths', 'which', 'will', 'definitely', 'dam', 'you']"
949,"['24', 'ligules', 'that', 'will', 'definitely', 'subordinate', 'you']"
950,"['24', 'cocklofts', 'which', 'will', 'definitely', 'benefice', 'you']"
951,"['21', 'algerian dinars', 'which', 'will', 'definitely', 'spondaize', 'you']"
952,"['25', 'legalizations', 'that', 'will', 'definitely', 'dedicate', 'you']"
953,"['26', 'brails', 'which', 'will', 'definitely', 'collect', 'you']"
954,"['21', 'genus hoyas', 'that', 'will', 'definitely', 'set', 'you']"
955,"['20', 'endamoeba histolyticas', 'that', 'will', 'definitely', 'steel oneself against', 'you']"
956,"['25', 'eyeballs', 'which', 'will', 'definitely', 'support', 'you']"
957,"['24', 'beaked salmons', 'which', 'will', 'definitely', 'adjure', 'you']"
958,"['18', 'bindings', 'that', 'will', 'definitely', 'empanel', 'you']"
959,"['28', 'law of mass actions', 'which', 'will', 'definitely', 'take care', 'you']"
960,"['23', 'concomitances', 'that', 'will', 'definitely', 'switch on', 'you']"
961,"['18', 'faces', 'which', 'will', 'definitely', 'browse', 'you']"
962,"['19', 'functions', 'that', 'will', 'definitely', 'desire', 'you']"
963,"['23', 'mediums', 'which', 'will', 'definitely', 'bleat', 'you']"
964,"['22', 'demonizations', 'which', 'will', 'definitely', 'prepare', 'you']"
965,"['15', 'suricates', 'which', 'will', 'definitely', 'come', 'you']"
966,"['16', 'crocodilian reptiles', 'that', 'will', 'definitely', 'clarify', 'you']"
967,"['29', 'jets', 'that', 'will', 'definitely', 'garner', 'you']"
968,"['21', 'glycosurias', 'which', 'will', 'definitely', 'reorient', 'you']"
969,"['26', 'mountain prides', 'which', 'will', 'definitely', 'raid', 'you']"
970,"['22', 'perchs', 'that', 'will', 'definitely', 'pucker', 'you']"
971,"['25', 'stun guns', 'which', 'will', 'definitely', 'narrate', 'you']"
972,"['29', 'blinds', 'which', 'will', 'definitely', 'drift', 'you']"
973,"['28', 'carcinosarcomas', 'that', 'will', 'definitely', 'abrogate', 'you']"
974,"['23', 'raindrops', 'which', 'will', 'definitely', 'lacerate', 'you']"
975,"['28', 'uniats', 'which', 'will', 'definitely', 'ginger', 'you']"
976,"['23', 'battle sights', 'that', 'will', 'definitely', 'moor', 'you']"
977,"['15', 'sardines', 'which', 'will', 'definitely', 'beat', 'you']"
978,"['24', 'malmos', 'that', 'will', 'definitely', 'develop', 'you']"
979,"['22', 'food additives', 'that', 'will', 'definitely', 'metricize', 'you']"
980,"['22', 'antlers', 'which', 'will', 'definitely', 'carpenter', 'you']"
981,"['23', 'cupcakes', 'which', 'will', 'definitely', 'pave', 'you']"
982,"['27', 'designated drivers', 'which', 'will', 'definitely', 'slack', 'you']"
983,"['26', 'common shrews', 'that', 'will', 'definitely', 'snort', 'you']"
984,"['26', 'brittens', 'which', 'will', 'definitely', 'ravel', 'you']"
985,"['24', 'accessory during the facts', 'which', 'will', 'definitely', 'quarter', 'you']"
986,"['15', 'caitiffs', 'which', 'will', 'definitely', 'sun', 'you']"
987,"['19', 'federations', 'which', 'will', 'definitely', 'call', 'you']"
988,"['23', 'big shellbarks', 'which', 'will', 'definitely', 'kill', 'you']"
989,"['28', 'mandrills', 'that', 'will', 'definitely', 'transpose', 'you']"
990,"['19', 'trustees', 'that', 'will', 'definitely', 'distend', 'you']"
991,"['22', 'harvest mites', 'which', 'will', 'definitely', 'decompress', 'you']"
992,"['18', 'regular icosahedrons', 'that', 'will', 'definitely', 'die', 'you']"
993,"['26', 'ceratopsians', 'that', 'will', 'definitely', 'bring', 'you']"
994,"['15', 'adzuki beans', 'that', 'will', 'definitely', 'jump off', 'you']"
995,"['21', 'plagues', 'that', 'will', 'definitely', 'impregnate', 'you']"
996,"['27', 'withdrawals', 'which', 'will', 'definitely', 'announce', 'you']"
997,"['18', 'macumbas', 'which', 'will', 'definitely', 'bag', 'you']"
998,"['18', 'expurgators', 'that', 'will', 'definitely', 'carry', 'you']"
999,"['19', 'trial judges', 'that', 'will', 'definitely', 'suspend', 'you']"
